id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
1090307,2012-02-08,4,98.0,109.0,2,host_antigo
15108,2009-09-18,7,86.0,60.0,4,host_antigo
1882316,2011-09-02,5,93.0,249.0,1,host_antigo
1095207,2012-06-18,4,100.0,250.0,2,host_antigo
1343805,2012-10-21,4,91.0,100.0,0,host_antigo
9217150,2015-05-21,1,100.0,74.0,0,host_novo
103920,2011-04-28,5,100.0,235.0,0,host_antigo
2215336,2014-01-14,2,95.0,99.0,1,host_medio
1483944,2013-08-04,3,92.0,96.0,2,host_medio
6466129,2014-06-10,2,94.0,92.0,0,host_medio
8536441,2014-12-23,2,97.0,85.0,0,host_medio
6262987,2015-05-04,1,96.0,55.0,0,host_novo
8379081,2015-09-14,1,92.0,55.0,0,host_novo
8365938,2015-09-13,1,80.0,80.0,0,host_novo
9921445,2015-04-13,1,NULL,195.0,NULL,host_novo
132160,2011-05-05,5,97.0,145.0,4,host_antigo
2033191,2013-12-04,3,100.0,180.0,1,host_medio
8849407,2013-09-13,3,NULL,50.0,NULL,host_medio
9922335,2015-04-13,1,NULL,160.0,NULL,host_novo
7243974,2013-04-01,3,100.0,140.0,0,host_medio
6490453,2012-12-31,4,97.0,140.0,0,host_antigo
4025593,2014-09-02,2,97.0,40.0,1,host_medio
8556103,2015-09-24,1,100.0,145.0,0,host_novo
955506,2011-01-22,5,94.0,225.0,2,host_antigo
9868607,2015-08-17,1,NULL,325.0,NULL,host_novo
8668073,2012-03-18,4,NULL,199.0,NULL,host_antigo
790860,2012-11-18,4,NULL,450.0,0,host_antigo
261912,2011-05-05,5,96.0,175.0,3,host_antigo
368403,2012-11-18,4,100.0,550.0,2,host_antigo
9878971,2015-12-08,1,NULL,149.0,NULL,host_novo
5602370,2014-02-01,2,100.0,130.0,0,host_medio
9395217,2015-07-18,1,NULL,85.0,NULL,host_novo
7331079,2015-07-13,1,100.0,300.0,0,host_novo
580182,2012-07-06,4,97.0,79.0,3,host_antigo
8152191,2015-08-31,1,89.0,59.0,0,host_novo
103908,2011-04-28,5,95.0,140.0,3,host_antigo
783061,2012-11-12,4,97.0,60.0,3,host_antigo
7901725,2015-02-06,1,NULL,215.0,NULL,host_novo
4968752,2015-01-04,1,98.0,100.0,0,host_novo
14386,2009-09-18,7,96.0,40.0,5,host_antigo
7517215,2015-07-23,1,93.0,99.0,0,host_novo
1602421,2009-09-18,7,93.0,45.0,2,host_antigo
3821822,2014-08-08,2,98.0,75.0,1,host_medio
6073437,2015-01-27,1,96.0,119.0,0,host_novo
7917700,2015-07-23,1,80.0,99.0,0,host_novo
6278181,2015-05-04,1,90.0,225.0,0,host_novo
4279578,2014-10-06,2,100.0,85.0,1,host_medio
9907337,2015-12-09,1,NULL,135.0,NULL,host_novo
1796861,2013-10-14,3,98.0,335.0,1,host_medio
4211836,2013-09-17,3,100.0,79.0,1,host_medio
4025954,2014-09-03,2,96.0,90.0,1,host_medio
6154478,2015-04-25,1,94.0,111.0,0,host_novo
84030,2010-11-19,6,88.0,110.0,4,host_antigo
4235559,2014-09-30,2,93.0,325.0,0,host_medio
830948,2012-11-12,4,100.0,85.0,2,host_antigo
3468261,2014-06-30,2,100.0,190.0,1,host_medio
10026648,2015-06-28,1,NULL,65.0,NULL,host_novo
